NPC,r_n107_30nm,r_n107_34nm,r_n107_4nm,r_n107_0nm,SSE_n107_30nm,SSE_n107_34nm,SSE_n107_4nm,SSE_n107_0nm,SSE_l_n107_30nm,SSE_l_n107_34nm,SSE_l_n107_4nm,SSE_l_n107_0nm,SSE_a_n107_30nm,SSE_a_n107_34nm,SSE_a_n107_4nm,SSE_a_n107_0nm,Cx_n107_30nm,Cy_n107_30nm,Cz_n107_30nm,Cx_n107_34nm,Cy_n107_34nm,Cz_n107_34nm,Cx_n107_4nm,Cy_n107_4nm,Cz_n107_4nm,Cx_n107_0nm,Cy_n107_0nm,Cz_n107_0nm,Tx_n107_30nm,Ty_n107_30nm,Tz_n107_30nm,Tx_n107_34nm,Ty_n107_34nm,Tz_n107_34nm,Tx_n107_4nm,Ty_n107_4nm,Tz_n107_4nm,Tx_n107_0nm,Ty_n107_0nm,Tz_n107_0nm,el_minor_n107_30nm,el_minor_n107_34nm,el_minor_n107_4nm,el_minor_n107_0nm,el_major_n107_30nm,el_major_n107_34nm,el_major_n107_4nm,el_major_n107_0nm,el_q_n107_30nm,el_q_n107_34nm,el_q_n107_4nm,el_q_n107_0nm,el_rot_n107_30nm,el_rot_n107_34nm,el_rot_n107_4nm,el_rot_n107_0nm,el_ssum_n107_30nm,el_ssum_n107_34nm,el_ssum_n107_4nm,el_ssum_n107_0nm,el_ssumXY_n107_30nm,el_ssumXY_n107_34nm,el_ssumXY_n107_4nm,el_ssumXY_n107_0nm,el_ssumZ_n107_30nm,el_ssumZ_n107_34nm,el_ssumZ_n107_4nm,el_ssumZ_n107_0nm,eCx_n107_30nm,eCy_n107_30nm,eCz_n107_30nm,eCx_n107_34nm,eCy_n107_34nm,eCz_n107_34nm,eCx_n107_4nm,eCy_n107_4nm,eCz_n107_4nm,eCx_n107_0nm,eCy_n107_0nm,eCz_n107_0nm,eTx_n107_30nm,eTy_n107_30nm,eTz_n107_30nm,eTx_n107_34nm,eTy_n107_34nm,eTz_n107_34nm,eTx_n107_4nm,eTy_n107_4nm,eTz_n107_4nm,eTx_n107_0nm,eTy_n107_0nm,eTz_n107_0nm
0,36.46650077875346,38.72327356455034,35.73766550550242,37.53516873783177,51.98046727485804,30.370152510242306,51.20284707720207,58.94585198311469,4.85317163449071,4.712252830631813,4.249276359158427,6.29629565730607,47.127295640367336,25.65789967961049,46.95357071804364,52.649556325808625,-0.842535972985158,5.800358745461027,30.4776784318446,-0.9901700368617595,5.091862464439037,34.7343200994258,1.4128718404147245,8.9934372906972,4.210473168405024,1.9968893287145864,8.39696662705549,0.4400634293466981,-0.23430571056181165,0.21971246062362437,-0.9470096454866956,-0.2396511918049718,0.22540456212750226,-0.9443304980982904,-0.16616942006893887,-0.07662428536312704,0.9831156812535047,-0.17340837024177022,-0.09000416692997248,0.980728702070728,34.2,36.6,30.7,30.0,41.2,43.5,42.0,47.4,0.83,0.84,0.73,0.63,-0.487,-0.17,-0.309,-0.367,181.7,188.4,60.9,67.1,134.6,162.7,14.0,14.5,47.1,25.7,47.0,52.6,-0.7190543464974065,5.72168305781596,30.4288737767077,-0.815517670292262,4.5105973108964985,34.55125340237184,1.3484292903943063,9.284802489055984,4.2222899557483595,2.0975104061496976,8.557169096111503,0.47255705041664275,-0.23430571056181165,0.21971246062362437,-0.9470096454866956,-0.2396511918049718,0.22540456212750226,-0.9443304980982904,-0.16616942006893887,-0.07662428536312704,0.9831156812535047,-0.17340837024177022,-0.09000416692997248,0.980728702070728
1,39.51155522897629,41.12428921321931,41.52455800038311,43.866000269333455,43.650158420446246,37.2233137259158,19.194528352966103,24.425511635785398,4.422678574007322,6.9251405691629255,1.31682296312994,1.2326807101530148,39.227479846438925,30.298173156752874,17.877705389836162,23.192830925632382,-1.2996793619177252,3.9361278245824813,28.370535555508216,-1.692194030118448,5.360394315928042,31.915580470534472,5.341978394726217,-0.9638980391550493,6.217150512412462,7.543373540431388,-0.8529651421716128,2.323138656026142,-0.01075230915075676,0.24523196421551408,0.9694048027397671,-0.015242502072804504,0.24539856695344586,0.9693024344691163,-0.008792281050408118,0.1016282770856195,-0.994783589073794,-0.026315128284644572,0.09808600646204735,-0.9948299600231634,35.9,34.0,40.7,43.8,44.8,51.5,42.5,44.2,0.8,0.66,0.96,0.99,-0.372,-0.363,-0.197,1.556,108.2,115.2,28.3,35.2,69.0,84.9,10.4,12.1,39.2,30.3,17.9,23.2,-1.5581245280793685,3.5330115805888638,28.469645964003313,-2.21397009285022,5.761429882021852,31.805845137007974,5.351425632485916,-0.972296159952434,6.21620905205142,7.521899504600653,-0.8959712323114446,2.319466467034565,-0.01075230915075676,0.24523196421551408,0.9694048027397671,-0.015242502072804504,0.24539856695344586,0.9693024344691163,-0.008792281050408118,0.1016282770856195,-0.994783589073794,-0.026315128284644572,0.09808600646204735,-0.9948299600231634
2,41.86108583535879,43.5550399791843,42.28603133337179,44.08237612560209,72.94011758278853,62.3331381127476,125.83166097677908,118.68938165221293,4.761547220072848,4.347851073298562,2.8940139509816047,4.270243698688919,68.17857036271569,57.985287039449034,122.93764702579747,114.41913795352401,-1.9412487182539675,0.5857789793468584,29.552564068968458,-3.5635259675061057,-0.3220168139399413,32.983349209957474,4.250691396056138,2.0109959233463677,2.96786393086567,4.367094628122804,0.12324518641950503,-0.7635750571844182,0.17106037020098053,-0.20420326320488974,-0.9638668876163232,0.1778984542978689,-0.19219711933956785,-0.9650970973306267,-0.08851422777394874,-0.35219517479775153,-0.9317316085283158,-0.1053926809523532,-0.3442056744019185,-0.932960254518485,35.8,38.0,39.2,39.9,49.1,50.1,46.0,49.6,0.73,0.76,0.85,0.8,-0.898,-0.756,-0.02,-0.149,80.6,69.0,144.9,164.0,12.4,11.0,21.9,49.6,68.2,58.0,122.9,114.4,-2.0587210823008073,0.6697840847649651,29.513918709102843,-3.6575158270277837,-0.28010182781869847,32.957676569985004,4.4476711282318036,1.8661421282507282,3.003905746444107,4.385113022644408,0.02847627650175763,-0.7306465487118473,0.17106037020098053,-0.20420326320488974,-0.9638668876163232,0.1778984542978689,-0.19219711933956785,-0.9650970973306267,-0.08851422777394874,-0.35219517479775153,-0.9317316085283158,-0.1053926809523532,-0.3442056744019185,-0.932960254518485
3,37.59002280911077,39.00852274240647,35.32926670264466,36.360900266360744,55.997350291144336,54.11291743809927,14.96200673988223,34.80781914509491,4.525452846224695,4.36005725820242,4.1872297337612485,5.154998094835607,51.47189744491964,49.75286017989685,10.774777006120983,29.652821050259302,-6.33968078168619,-2.327654763368698,30.548286893835417,-4.5622251572202766,-2.7339268428681276,34.58394837480323,-7.2263586160296915,-1.7191577060111047,2.4342001853629234,-8.914354428325398,-0.9444367981116089,-1.3750203940616204,-0.12710204080193327,-0.014633034489511365,-0.9917817025563702,-0.11995344802723959,-0.036314188652085466,-0.9921151394918422,0.06686793498252895,-0.032390390642769884,-0.9972359509490124,0.06821553896222518,-0.018070119100183024,-0.9975069478654263,31.9,34.5,32.4,33.0,44.4,44.8,39.9,41.9,0.72,0.77,0.81,0.79,0.629,1.224,1.369,-1.08,59.3,85.3,79.1,132.7,7.9,35.6,68.3,103.0,51.5,49.8,10.8,29.7,-5.970513627999933,-2.219508616577656,30.499380562128103,-4.143178018176246,-2.706662857435583,34.532284795966056,-7.2234227122988175,-1.955005905500554,2.442057436323633,-9.053872090380175,-1.1120834539214342,-1.3815244865779368,-0.12710204080193327,-0.014633034489511365,-0.9917817025563702,-0.11995344802723959,-0.036314188652085466,-0.9921151394918422,0.06686793498252895,-0.032390390642769884,-0.9972359509490124,0.06821553896222518,-0.018070119100183024,-0.9975069478654263
4,43.41545917838276,45.66908022397084,45.162625858542185,47.348890700840634,50.38580406641721,68.50713203834616,23.828514693720646,37.10819072186847,9.60968096342934,8.42439980595115,3.2477349276694176,1.1693288039079754,40.77612310298787,60.082732232395,20.58077976605123,35.938861917960494,5.416218138809726,-11.325061675546955,29.35519095273397,5.658195913216563,-10.665584462052275,33.34249472380834,6.855423879954982,0.5779990549277976,3.8215903423578266,6.1960358111977705,3.1844381038601193,-0.16273584445022615,-0.1745518446911159,0.10163037201231129,0.9793890549723168,-0.1476500682751779,0.10688682934689164,0.9832470000211054,0.07848799953699823,0.013799056499445572,-0.9968195523606095,0.054647604931813726,0.04515838581791898,-0.9974840146416066,32.8,36.7,41.4,45.9,59.9,58.7,49.6,48.9,0.55,0.62,0.83,0.94,-1.392,-1.484,-1.395,-0.291,115.8,145.9,39.3,38.0,75.0,85.8,18.7,2.1,40.8,60.1,20.6,35.9,4.844840971612948,-10.008024148804122,29.116689255007493,6.241340135734656,-10.147135674367217,33.37370350163733,6.507090398039757,0.6615405867407237,3.795319585742217,6.013293607716344,3.1728143653035126,-0.1732736905272729,-0.1745518446911159,0.10163037201231129,0.9793890549723168,-0.1476500682751779,0.10688682934689164,0.9832470000211054,0.07848799953699823,0.013799056499445572,-0.9968195523606095,0.054647604931813726,0.04515838581791898,-0.9974840146416066
5,35.16291389801478,37.03466305699556,35.34139422458992,36.88710172030663,44.04567702417224,44.97265466392976,23.59936604313047,12.736706570469753,5.0670611294977865,3.985921076340461,4.647910764844603,4.119656269862868,38.978615894674455,40.9867335875893,18.951455278285867,8.617050300606886,4.4410671263968275,5.158558927907761,31.76184599834132,4.37656149539964,0.6600999056093184,34.41057440934794,-6.4703973093181935,2.3204324526128053,4.747085406006224,-7.5810757681309004,-0.3127406458705595,0.5981426559818096,-0.21089828189729817,-0.10814786928496944,0.9715070525023939,-0.24436809630773468,-0.09823696152391515,0.9646935953438701,0.10745633641665615,-0.04899069993470906,0.9930020378044637,0.09207853520424407,-0.04759604518139382,0.9946135731216076,30.7,32.8,31.3,32.5,41.5,42.4,41.1,42.5,0.74,0.77,0.76,0.76,1.11,1.361,1.078,1.105,103.7,75.1,73.3,34.7,64.7,34.1,54.4,26.1,39.0,41.0,19.0,8.6,4.673548675950765,5.322114189401635,31.830520859983142,4.475073482684549,0.5960505503299048,34.42900634756325,-6.2417434486125885,2.228589181303957,4.7178107708917425,-7.414647810475555,-0.2944618732514249,0.5836099312522125,-0.21089828189729817,-0.10814786928496944,0.9715070525023939,-0.24436809630773468,-0.09823696152391515,0.9646935953438701,0.10745633641665615,-0.04899069993470906,0.9930020378044637,0.09207853520424407,-0.04759604518139382,0.9946135731216076
6,39.84767762085267,42.04779071923239,40.69103944196055,42.44063216592959,37.21017540439285,18.354641275890792,156.46790227639477,146.6996497426706,4.694803015296486,2.949813775899628,5.653311075322089,5.811934025369707,32.51537238909636,15.404827499991166,150.8145912010727,140.8877157173009,7.262163260516413,-3.9655046569821795,32.27511986149519,5.592608582579843,-3.459573156033871,36.49085787912044,-7.774545950646443,-2.0879550783211585,4.08676677955745,-11.149065183714393,-0.6985175329899753,-0.4360808445352026,-0.14482707074806486,-0.1567333697413008,-0.9769645696687632,0.12509562758530063,0.18052513731662356,0.9755827790381778,0.05608017613924563,-0.25271792493864964,0.9659133834143175,0.04945073451257055,-0.24099487999543734,0.9692657492515413,34.9,38.4,33.9,35.6,46.2,46.2,49.3,51.3,0.76,0.83,0.69,0.69,1.241,0.559,-0.104,-0.105,68.0,26.6,175.4,173.1,35.5,11.2,24.6,32.2,32.5,15.4,150.8,140.9,7.188514784302913,-3.9414178292240702,32.28217342680155,5.5710397774020395,-3.4380983313964095,36.48964979870751,-8.352466237268791,-1.7689206403038258,4.203791343632102,-11.391127201013699,-0.7103265068890566,-0.42666728348405386,-0.14482707074806486,-0.1567333697413008,-0.9769645696687632,0.12509562758530063,0.18052513731662356,0.9755827790381778,0.05608017613924563,-0.25271792493864964,0.9659133834143175,0.04945073451257055,-0.24099487999543734,0.9692657492515413
7,34.99871089532766,35.9347097482008,34.08467841260352,35.74926614923167,10.582240496877791,9.802499035115899,30.25934035450238,55.974402215773345,1.4344416698625728,2.1391363459365937,6.814397320385955,5.490622655911253,9.147798827015219,7.663362689179305,23.444943034116427,50.48377955986209,9.531963400508783,-8.604271304233498,30.455638745092706,10.514086840240612,-5.684407465657601,33.79554367755249,5.923493843102106,-12.430496694609307,5.1651469395771725,3.9426653063916235,-12.781596713259113,1.2607418993429216,-0.20414847012923265,0.17734182444631041,0.9627425821297964,0.18450163871672864,-0.17742199416797022,-0.9666853579610599,-0.09104715127035815,-0.07752942901504864,-0.9928240548466547,-0.09245616654904953,-0.06947607070814282,-0.993289954074847,33.1,33.0,29.5,31.2,37.0,39.1,42.1,42.6,0.89,0.85,0.7,0.73,-1.013,-0.773,0.319,0.206,11.1,8.4,175.1,139.0,2.0,0.7,151.6,88.5,9.1,7.7,23.4,50.5,9.522982662258965,-8.562191687111232,30.44598312144071,10.272657128070893,-5.5512398971064885,33.725023282741866,5.725641790566545,-12.05642516423633,5.154079836246419,4.182534639736051,-12.48420199578353,1.2176132889331202,-0.20414847012923265,0.17734182444631041,0.9627425821297964,0.18450163871672864,-0.17742199416797022,-0.9666853579610599,-0.09104715127035815,-0.07752942901504864,-0.9928240548466547,-0.09245616654904953,-0.06947607070814282,-0.993289954074847
8,37.446301658752944,39.83727332137535,38.4002070078713,40.75264403617036,29.816933887298894,35.99583336355917,60.134682476545166,51.35525781751107,8.164862170939946,6.656874334726503,7.733903382266601,6.320244174088487,21.652071716358947,29.338959028832672,52.40077909427856,45.03501364342258,2.0426904600421927,-4.287311266448066,29.874008107869976,3.2183745616141657,-7.011506604482518,33.3989490100203,-2.20175970148071,0.8902031705252643,7.43630043970076,-3.3453926094380098,-1.2401301744893307,3.990614101839833,-0.22862446452898802,-0.06136290556953383,-0.9715788429349923,-0.23506567877677878,-0.057655357878965696,-0.9702679971889523,0.06316125746350851,0.24747467190603445,0.9668334615230427,0.06737813624475131,0.21022620425720828,0.9753282164480785,30.2,31.6,30.7,34.4,49.2,51.3,50.2,49.7,0.61,0.62,0.61,0.69,0.761,0.638,-0.224,-0.263,133.2,54.0,139.2,119.5,111.5,24.7,86.8,74.5,21.7,29.3,52.4,45.0,2.2847021120748425,-4.547373834269922,29.83348479897887,3.535181537122102,-7.276141877925756,33.33792174176785,-2.8576437624936437,0.6441030920887132,7.542140796166893,-3.852239071994404,-1.6246848154452425,4.108516804302119,-0.22862446452898802,-0.06136290556953383,-0.9715788429349923,-0.23506567877677878,-0.057655357878965696,-0.9702679971889523,0.06316125746350851,0.24747467190603445,0.9668334615230427,0.06737813624475131,0.21022620425720828,0.9753282164480785
9,39.125235690963834,40.024284811177395,38.974586211989774,40.864546942394874,29.1238877230398,38.67127520422238,18.020175126643373,26.698073946208012,6.31819493345582,8.639467881962794,3.599966123797973,4.217879040970372,22.80569278958398,30.031807322259592,14.420209002845398,22.48019490523764,-5.030215559410477,2.6885249378269545,31.16142805588802,-8.024722763591098,2.499303831859209,34.8522635472934,0.6954024333237442,6.061710442151925,5.668338568450224,0.949246942171297,8.392838145078427,1.8323409448624008,-0.036722317772417815,0.05817265305935104,0.9976309005907236,-0.0325475506579306,0.035591242494773245,0.998836283083393,-0.011608548370400255,0.16889230765658492,-0.9855661469526872,-0.0030622662055101247,0.1968220494693845,-0.9804344462371556,32.4,34.1,34.7,36.3,48.9,51.0,44.0,46.6,0.66,0.67,0.79,0.78,-1.399,-1.468,1.055,0.769,98.2,262.1,29.1,57.5,75.4,232.1,14.7,35.1,22.8,30.0,14.4,22.5,-4.6589493160149535,2.1708334352124385,31.205281193471876,-8.318666557865457,1.906582941289095,34.86380550127377,0.5208035758699703,6.20595547682365,5.695113753593782,0.7739577445386738,8.505947296452932,1.8555950821082678,-0.036722317772417815,0.05817265305935104,0.9976309005907236,-0.0325475506579306,0.035591242494773245,0.998836283083393,-0.011608548370400255,0.16889230765658492,-0.9855661469526872,-0.0030622662055101247,0.1968220494693845,-0.9804344462371556
10,28.887154740832827,29.638644551158176,30.665354538541916,32.83104898487912,13.003297242536792,13.238231843167952,28.30643151057148,18.838363621401825,5.767471306842208,6.915760735834385,6.468140264409845,5.865158505889474,7.235825935694583,6.322471107333566,21.83829124616163,12.97320511551235,-2.7263938169730495,0.6665790767905369,29.70784097266639,-2.347591304481772,2.0063744824175003,33.9439171839129,-9.320382653591855,0.09534343549925062,-1.2151103808894346,-7.426734901471348,-2.0154621359318345,-4.835312579360684,0.11639800661048826,-0.09424977134241092,-0.9887206302383945,-0.1369902639914715,0.07942420695466057,0.9873831388681753,0.13028642384667163,0.0708277906893161,-0.9889433107247936,0.13860796189572241,0.051684344785637326,-0.9889977560152469,23.5,26.9,25.5,27.5,37.8,37.3,39.6,41.3,0.62,0.72,0.65,0.67,1.012,0.683,1.351,1.064,78.4,248.3,130.2,94.7,71.1,241.9,108.3,81.7,7.2,6.3,21.8,13.0,-3.750908781104733,0.19946867055964967,29.63175633531996,-2.8063493763035474,1.6073925156741864,33.912362499775796,-8.634877589114366,0.5971924457414881,-1.0888575828972784,-6.784516508252748,-2.1034684916369595,-4.749904871172636,0.11639800661048826,-0.09424977134241092,-0.9887206302383945,-0.1369902639914715,0.07942420695466057,0.9873831388681753,0.13028642384667163,0.0708277906893161,-0.9889433107247936,0.13860796189572241,0.051684344785637326,-0.9889977560152469
11,42.867899985505105,44.60959047706409,42.09076200258589,44.380600457758874,30.125746765496,58.49828611175605,88.04088478614933,57.30450797673604,5.242167301713905,6.521565687365461,6.319237636599749,5.170645568026317,24.883579463782095,51.97672042439059,81.72164714954958,52.133862408709724,-0.4434546766913643,11.703659364518623,31.027546887492832,-0.3967936780659249,11.994209848623068,35.22565051814466,-0.11443650735204715,9.321249904602114,2.6963087092588,-0.1753593599078445,9.191728868526443,-1.2423909975866079,0.030157604804920173,0.014645569470239844,0.9994378550802059,0.046102479007101044,0.018496969206969638,0.9987654497225843,0.037986219978478196,-0.29343421789123314,-0.9552242704529166,0.043259456508513774,-0.27672655461805584,-0.959974496219461,36.2,37.2,35.5,37.9,51.0,54.3,51.2,52.3,0.71,0.69,0.69,0.72,-0.569,-0.469,0.878,1.017,34.5,99.0,146.9,66.2,9.6,47.0,65.2,14.1,24.9,52.0,81.7,52.1,-0.5342755123709091,11.526936348632065,31.032877031883057,-0.22679614500170728,11.616849415130284,35.22479217509591,-0.38163043408280783,9.439598378355633,2.649327931550006,-0.1842642675378042,9.099194274446443,-1.2161178434166429,0.030157604804920173,0.014645569470239844,0.9994378550802059,0.046102479007101044,0.018496969206969638,0.9987654497225843,0.037986219978478196,-0.29343421789123314,-0.9552242704529166,0.043259456508513774,-0.27672655461805584,-0.959974496219461
12,41.32633049063771,42.928937579609666,40.39099123947632,41.920018084491964,4.257421836999397,14.053155619473328,50.64410563494363,42.46894918677484,2.3995997021802733,2.363112407295871,4.74063279579158,4.8392043245302,1.8578221348191237,11.690043212177457,45.90347283915205,37.62974486224464,-7.46104707863142,2.5359714168062157,28.14989109544965,-7.6926483789412,2.4240200859413243,31.531419397497533,-5.075064282840564,4.815682399772079,4.113012073865479,-3.555373736315286,5.8068152464295535,0.5391319634638322,0.030695937987462906,0.11008193345682427,0.9934484019401698,0.0252828452432812,0.10169751070531985,0.9944940392243412,-0.07383923375785073,0.05753587167584029,0.9956090553166713,-0.07830767537415977,0.05248036613430551,0.9955469447233036,39.0,42.0,34.1,35.7,44.1,44.5,47.7,49.3,0.88,0.94,0.72,0.72,0.839,0.769,0.517,0.393,21.8,50.3,46.7,42.6,20.0,38.6,0.8,5.0,1.9,11.7,45.9,37.6,-7.173288953840122,2.528734460261802,28.14180174992397,-7.405263324192634,2.451236813274681,31.5213300607212,-4.882868791377831,4.705111147013597,4.13365610188161,-3.5782474171690897,5.680392983827257,0.5439971301741073,0.030695937987462906,0.11008193345682427,0.9934484019401698,0.0252828452432812,0.10169751070531985,0.9944940392243412,-0.07383923375785073,0.05753587167584029,0.9956090553166713,-0.07830767537415977,0.05248036613430551,0.9955469447233036
13,41.42959872599767,43.549603627590415,40.16743043464438,41.87718142527553,37.018028822321476,46.13253976040913,30.137303637324635,24.68325023767344,3.5640881734085297,3.4096594449044773,4.419907685979499,5.575217777143009,33.45394064891295,42.72288031550465,25.717395951345136,19.10803246053043,2.8285730468568495,0.9066881544658842,30.232317396452583,0.8070098623100597,2.0006953150673112,34.78534671454844,6.290900148691206,-4.981142542575897,1.7052607925686678,6.678794519810023,-4.182771144935799,-2.533473396113782,-0.020322484879138684,0.22783703521817705,-0.9734871760795455,-0.04448739126477064,0.22832253481914455,-0.9725686053498825,-0.0477282723734206,-0.23288994689458042,0.9713311920512426,-0.017607743377494153,-0.23438940416595855,0.9719833201181383,38.5,41.0,37.7,38.4,45.5,47.0,44.4,47.7,0.85,0.87,0.85,0.8,-1.07,-0.994,-0.35,-0.069,98.1,94.8,122.0,147.0,64.7,52.1,96.3,127.9,33.5,42.7,25.7,19.1,2.884374036721623,1.3584889341283262,30.33689292438585,0.774583368969074,2.2145980567522487,34.83704629235332,6.546894404685278,-5.0421327702366385,1.7032163330463823,6.687652328030381,-4.179735780885742,-2.532580970115108,-0.020322484879138684,0.22783703521817705,-0.9734871760795455,-0.04448739126477064,0.22832253481914455,-0.9725686053498825,-0.0477282723734206,-0.23288994689458042,0.9713311920512426,-0.017607743377494153,-0.23438940416595855,0.9719833201181383
14,35.587730495817475,37.493085115704154,37.741668338401965,39.38210332897958,16.825674577110217,30.78248080195155,97.3097091136873,69.39225587964424,3.4845982756995246,2.6023394394304287,3.6758346588554276,3.3332906223163272,13.341076301410691,28.18014136252112,93.63387445483188,66.05896525732791,-0.40117247918135196,-7.622975887282239,30.238452782922646,-2.437227742867339,-8.134020949828336,33.58594158287694,-0.6818097847542932,-0.6836617026060766,1.900189033179395,-1.526987144692479,1.1878850262943812,-2.225900019794678,-0.31902293701959017,-0.009396189279764822,0.9477004153646938,0.3222767102156084,-0.007752885793060216,-0.946613762214814,0.2487299741512414,0.06372142984872653,-0.9664745104433725,0.24792375068548192,0.05146035761523904,-0.9674118282511097,32.6,34.5,34.0,36.6,39.6,41.0,42.6,43.1,0.82,0.84,0.8,0.85,0.207,-0.154,0.579,0.504,55.6,40.8,141.9,114.3,42.2,12.6,48.2,48.3,13.3,28.2,93.6,66.1,-0.25899104347791335,-7.53999871138862,30.28713779741704,-2.4782835179822165,-8.311050143456379,33.573413946482354,-0.6476225081179162,-0.45983102205131765,1.9237449688994028,-1.487985486842884,1.2943905080736722,-2.2102394220689323,-0.31902293701959017,-0.009396189279764822,0.9477004153646938,0.3222767102156084,-0.007752885793060216,-0.946613762214814,0.2487299741512414,0.06372142984872653,-0.9664745104433725,0.24792375068548192,0.05146035761523904,-0.9674118282511097
15,39.88171203644282,41.859520729394276,38.86044447556887,40.60835147600429,23.784685770293223,20.4073579007371,58.0961875136475,79.2926196063339,5.467556791361801,6.660707601223518,3.61190806078452,3.9015116022005745,18.31712897893142,13.746650299513583,54.48427945286298,75.39110800413333,-0.9699524400544162,2.4963318766963125,28.826848330464856,-3.2337340265073826,0.7277616773051822,32.710599589335295,6.749350077381079,-0.4020768129180379,1.647002940831078,6.930996666004878,-1.418060028457461,-2.4716215575243043,-0.16251856596312952,-0.11925377607739274,0.9794724358595146,-0.14395000374804215,-0.12544024148443056,0.9816023340626623,0.03576121587508839,-0.11136397562911055,0.9931360432343668,0.03563443064999284,-0.10257835157287898,0.9940864495308454,34.0,35.3,34.9,36.1,47.8,51.1,43.7,46.1,0.71,0.69,0.8,0.78,0.187,0.035,0.996,1.247,71.1,91.6,79.3,103.3,52.8,77.9,24.8,27.9,18.3,13.7,54.5,75.4,-0.9058217322865052,2.5096719795087066,28.83911339056707,-3.4181502299056494,0.6094056593573376,32.668430455046895,6.796800065683904,-0.43356674959125313,1.6417632620875104,6.87686645606902,-1.6569141739267557,-2.4943281996953273,-0.16251856596312952,-0.11925377607739274,0.9794724358595146,-0.14395000374804215,-0.12544024148443056,0.9816023340626623,0.03576121587508839,-0.11136397562911055,0.9931360432343668,0.03563443064999284,-0.10257835157287898,0.9940864495308454
16,38.771267549131686,40.19976927965183,40.66161442241766,42.53227371774939,137.8661920657529,131.65191301185473,54.815598215416635,39.59977128941813,2.863201280810148,3.6611802318518913,2.942806048300028,3.1578693961102484,135.00299078494274,127.99073278000283,51.87279216711661,36.44190189330788,3.4535445545203918,2.197122803910887,30.325023403358962,3.696480521440545,2.8708892775867856,33.70974540023593,-5.643455899324241,-10.15719475709325,9.54906230141121,-5.95703447741933,-14.275897964290087,6.538914986436426,0.01706471864664627,-0.1376759522340101,-0.9903303123473347,0.016923480375241474,-0.14468496166964948,-0.9893330367872292,-0.07601864187157749,-0.08229660536644667,-0.9937044001277042,-0.0657407179643787,-0.08970100884849863,-0.9937967030600823,36.1,36.5,37.1,38.4,42.2,44.8,44.7,47.1,0.85,0.82,0.83,0.82,1.417,1.434,1.35,1.361,167.7,159.0,62.2,40.3,32.7,31.0,10.3,3.9,135.0,128.0,51.9,36.4,3.3178412721778643,2.417664724066983,30.29202526446513,3.6466370433112183,2.813560856090303,33.71727677244911,-5.435915404127226,-9.750161030447238,9.49947568335405,-5.875652753556756,-13.797138823826696,6.490318255634039,0.01706471864664627,-0.1376759522340101,-0.9903303123473347,0.016923480375241474,-0.14468496166964948,-0.9893330367872292,-0.07601864187157749,-0.08229660536644667,-0.9937044001277042,-0.0657407179643787,-0.08970100884849863,-0.9937967030600823
17,30.770120871238355,32.57772621505588,30.18805064898139,31.73035878681712,56.34459167142366,37.48065300513136,20.02548975689775,55.43563194051032,3.627500173722296,2.8044611785356572,4.301585891554968,4.66582184989093,52.71709149770136,34.6761918265957,15.723903865342782,50.76981009061939,-0.26696647332037454,-7.47407944746035,29.370138391577164,-0.18640354253418662,-5.569300554682979,32.576620980375765,-9.199680331230399,-1.7464879624726377,2.681907620154028,-6.191244685710094,1.6181245395323816,-1.367652936432152,-0.05108764497115116,0.09350197414863082,-0.9943075144851367,-0.04574209497232019,0.09363116047448239,-0.9945556125907414,-0.21989947704342414,0.010915328048282658,0.9754614680291716,-0.22973335066998882,0.012902671047754555,0.9731680783244865,26.6,31.1,25.6,26.2,36.0,35.0,36.4,38.8,0.74,0.89,0.7,0.68,-1.537,1.371,-1.512,1.497,67.5,83.4,41.0,65.8,14.7,48.7,25.3,15.0,52.7,34.7,15.7,50.8,-0.3711792102820568,-7.071041667172435,29.413393431687208,0.2035189840231706,-5.467025011766865,32.5683160697547,-9.012463369401924,-1.6276781734868784,2.7227826987546937,-6.364571268634442,1.3641050552810419,-1.4052018117233434,-0.05108764497115116,0.09350197414863082,-0.9943075144851367,-0.04574209497232019,0.09363116047448239,-0.9945556125907414,-0.21989947704342414,0.010915328048282658,0.9754614680291716,-0.22973335066998882,0.012902671047754555,0.9731680783244865
